Topic 0: art, chinese, new, also, japanese, one, korean, like, work, artists
Topic 1: art, university, professor, artist, new, one, work, department, world, asian
Topic 2: japanese, japan, tea, art, tokyo, prints, murakami, one, work, exhibition
Topic 3: painting, chinese, art, taiwan, ink, landscape, dance, china, paintings, artists
Topic 4: korean, art, korea, redemption, kim, lee, seoul, exhibition, park, han
Topic 5: house, design, architecture, home, architects, space, jobs, architect, minimalist, designed
Topic 6: singapore, southeast, art, gallery, asia, region, artists, museum, national, contemporary
Topic 7: china, confucian, chinese, confucius, xi, confucianism, political, ccp, students, government
Topic 8: brand, skin, beauty, products, makeup, brands, india, consumers, care, fairness
Topic 9: professor, university, studies, research, assistant, science, department, phd, history, humanities
Topic 10: kintsugi, wabisabi, japanese, broken, sabi, wabi, gold, beauty, imperfection, japan
Topic 11: buddhist, buddhism, buddha, buddhists, america, teachings, dhamma, tradition, religion, summit
Topic 12: craft, choi, atta, dehua, porcelain, lacquer, ting, material, tradition, galleries
Topic 13: ttea, tenets, inventory, confucianism, ideologies, doi, ie, items, eg, al
Topic 14: natori, ashikaga, japanese, japan, nippon, muromachi, period, kyōto, tea, ceremony
Topic 15: cookies, website, consent, essential, use, clicking, personalized, click, functionalities, accept
Topic 16: lee, ufan, ishiyama, work, artist, canvas, steel, paintings, stone, things
Topic 17: japandi, scandinavian, rietbergen, style, design, interiors, japanese, natural, materials, wijaya
Topic 18: celosía, escobedo, fiverr, javascript, designboom, roundup, yearly, spaces, latticework, reuse
Topic 19: ching, book, hexagram, text, confucius, tao, thought, wilhelm, ideas, laozi
Topic 20: hong, kong, works, china, art, frog, chinese, chan, paintings, shanghai
Topic 21: dragon, year, chinese, zodiac, dragons, lunar, qu, festival, embroidery, symbol
Topic 22: dabeiyuzhou, du, kun, chinese, china, says, technology, dance, cyberpunk, traditional
Topic 23: souza, gaitonde, tagore, indian, bharat, india, art, roy, christie, francis
Topic 24: okinawa, chōsenjin, japan, people, japanese, proletarian, individualistic, hokkaido, collectivist, tend
Topic 25: photography, photographers, asian, hura, japanese, rai, rosalía, photographer, world, liao
Topic 26: music, islamic, musical, melodic, rhythmic, modes, maqām, vocal, dance, cantillation
Topic 27: sikander, miniature, manuscript, shahzia, pakistan, artist, raina, painting, artists, work
Topic 28: moon, jar, jars, korean, porcelain, white, joseon, choi, potters, shape
Topic 29: minjung, kim, hanji, 김민정, paper, 작가의, 있다, 아티스트, traces, artist
Topic 30: wl, east, asian, students, studies, japanese, japan, program, professor, history
Topic 31: garden, zen, gardens, page, plants, celtic, japanese, indoor, gardening, gravel
Topic 32: prose, chinese, graphs, literature, language, written, literary, poetry, pronunciation, writing
Topic 33: minors, program, certificates, degrees, units, academic, students, studies, undergraduate, study
Topic 34: hart, major, course, axle, arch, count, minor, requirement, toward, hca
Topic 35: li, lis, zehou, measures, path, aesthetics, subjectivity, chinese, ontology, beauty
Topic 36: war, sun, tzu, military, gsi, tzus, security, countries, conflict, global
Topic 37: miami, suh, december, beach, art, location, korean, 2024, week, hanji
Topic 38: al, et, genomewide, variants, genetic, partner, snp, facial, supplementary, association
Topic 39: dna, humans, sapiens, homo, steppe, ago, neanderthal, africa, genetic, species
Topic 40: slade, british, transcultural, art, fine, araeen, jasmir, creed, london, school
Topic 41: et, western, al, pöppel, paintings, bao, doi, cultural, chinese, aesthetic
Topic 42: technology, question, heidegger, cosmotechnics, cybernetics, logic, tragedy, thinking, unknown, greek
Topic 43: tieu, jewellery, ms, lacquer, says, makie, design, contemporary, bic, hybrid
Topic 44: edmonton, minor, economics, psychology, sociology, studies, education, english, science, educational
Topic 45: ink, xue, chinese, painting, paintings, chu, luo, philosophers, bossières, hangzhou
Topic 46: de, garden, gardens, citadel, ccbysa, igo, en, license, la, description
Topic 47: art, chinese, artists, contemporary, new, 1990s, china, 1980s, avantgarde, movement
Topic 48: ir, china, associations, tianxia, fdi, clan, states, countries, economic, united
Topic 49: ink, calligraphy, houtang, cohen, la, painting, wang, chinese, martial, show
